SNo.,Domain,Question,Option A,Option B,Option C,Option D,Correct Answer,,
1,People,A team member is consistently late to the daily stand-up. What should the Scrum Master do?,Reprimand them in front of the team,Ignore it as long as their work is done,Meet with them privately to discuss the impact on the team,Ask the Product Owner to replace them,C,,
2,People,Two senior stakeholders have conflicting requirements. What is the PM’s first step?,Choose the requirement from the more senior stakeholder,Escalate to the Sponsor,Facilitate a meeting between them to reach a consensus,Submit both to the Change Control Board (CCB),C,,
3,People,An agile team feels the Product Owner is micromanaging tasks. What should the Scrum Master do?,Tell the team to ignore the Product Owner,Ask the team to follow all instructions,Coach the Product Owner on agile roles and servant leadership,Take over the Product Owner s responsibilities,C,,
4,People,A PM is leading a global virtual team. Team members feel disconnected. What should the PM do?,Require everyone to travel to headquarters,Send more frequent status emails,Set up periodic informal virtual  coffee breaks  to build rapport,Increase the number of mandatory project meetings,C,,
5,People,A team member wants to learn a new skill not required now but useful later. What should the PM do?,Deny the request to save costs,Tell them to learn it on their own time,Support the request as it builds team capability and motivation,Replace them with someone who already has the skill,C,,
6,People,During a meeting a team member is constantly interrupted. What should the PM do?,End the meeting,Tell the members to speak louder,Intervene and ensure all voices are heard,Do nothing to avoid conflict,C,,
7,People,A team is in the Storming phase. What is the PM s role?,Delegate all decisions,Dictate all tasks strictly,Step back and let them fail,Provide high direction and support to resolve conflicts,D,,
8,People,The stakeholder is unhappy with progress. What should the PM do first?,Show them the project schedule,Ask the Sponsor to talk to them,Ignore the stakeholder,Meet with them to understand their concerns,D,,
9,People,An agile team is distracted by emergency requests from a functional manager. What should the Scrum Master do?,Tell the team to work overtime,Add requests to the current sprint,Meet with the functional manager to protect the team from interruptions,Tell the team to ignore the manager,C,,
10,People,A PM wants to empower the team. What is the best approach?,Assign every task personally,Ask for approval on every email,Make all decisions in private,Define the  what  and let the team decide the  how ,D,,
11,People,A team member is underperforming due to a personal issue. What should the PM do?,Show empathy and discuss how to support them,File a formal HR complaint,Replace them immediately,Deduct their pay,A,,
12,People,A PM is using Emotional Intelligence (EI) to manage conflict. What is the first step?,Self-awareness,Social skills,Empathy,Motivation,A,,
13,People,A stakeholder wants to give orders directly to the team. What should the PM do?,Quit the project,Tell the team to listen to the stakeholder,Explain the communication protocol to the stakeholder,Charge the stakeholder for the extra work,C,,
14,People,A PM holds a brainstorming session for complex problems. This is an example of:,Directing,Dictating,Managing,Facilitating,D,,
15,People,A PM is mentoring a junior PM. What is the best way to help?,Give them all the data entry work,Tell them to read the PMBOK Guide only,Let them fail without help,Provide feedback  guidance  and responsibility,D,,
16,People,A team member is recognized for excellent work. How should the PM reward them?,Give them more work,Do nothing,Give everyone the same reward,Use a reward system meaningful to the individual,D,,
17,People,A virtual team member is not responding to emails. What should the PM do?,Assume they are lazy,Remove them from the team,Report them to their manager,Try a different communication medium (e.g.  video call),D,,
18,People,A PM wants to ensure the team understands the vision. What should they use?,A 100-page report,A budget spreadsheet,A list of tasks,A clear and concise project vision statement,D,,
19,People,Which conflict resolution technique leads to a Win-Win ?,Collaborating/Problem Solving,Compromising,Forcing,Smoothing,A,,
20,People,A PM uses Servant Leadership. What is their primary focus?,Controlling the team,Following the rules,Pleasing the Sponsor,Supporting and enabling the team to succeed,D,,
21,People,A team is diverse. What should the PM do?,Treat everyone exactly the same  ignoring culture,Promote cultural awareness and respect differences,Only hire people from one culture,Force everyone to adopt the PM s culture,B,,
22,People,A team member does not follow ground rules. What should the PM do?,Change the rules,Ignore it,Publicly shame them,Remind the member of the agreed-upon rules,D,,
23,People,A PM wants to foster transparency in Agile. What is the best tool?,Private emails,Monthly status reports,Locked spreadsheets,A public Kanban board,D,,
24,People,A stakeholder is worried about a specific risk. What should the PM do?,Involve the stakeholder in the risk analysis,Tell them not to worry,Hide the risk,Blame someone else,A,,
25,People,A team member is Over-allocated. What should the PM do?,Make them work 80 hours a week,Tell them to work faster,Hire a new team,Use resource leveling or prioritize tasks,D,,
26,People,A PM is leading a team of experts. Which leadership style is best?,Autocratic,Directing,Micro-managing,Participative/Laissez-faire,D,,
27,People,A project is being closed. What should the PM do for the team?,Celebrate successes and conduct  Lessons Learned ,Stop talking to them,Give them a bad review,Start the next project immediately,A,,
28,People,A team is struggling with a technical hurdle. What should the PM do?,Solve it themselves,Cancel the project,Tell the team to figure it out,Bring in a subject matter expert (SME) to coach,D,,
29,People,A manager takes a resource for an emergency. What should the PM do?,Negotiate with the manager for a replacement,File a lawsuit,Refuse to let the resource go,Stop the project,A,,
30,People,A PM is building Shared Understanding. What helps most?,Lengthy documents,Only talking to the team leader,Strictly following the WBS,Face-to-face communication and active listening,D,,
31,People,An agile team is Self-Organizing. This means:,They have no manager,They don t have to follow a budget,They do whatever they want,They decide how to do their work as a team,D,,
32,People,A team member makes a mistake. What should the PM do?,Fire them,Hide the mistake,Blame them in the report,Use it as a learning opportunity,D,,
33,People,A PM is identifying stakeholders. Who is a stakeholder?,Only the customer,Only the team,Anyone affected by the project,Only the PMO,C,,
34,People,In RACI the A stands for:,Assigned,Authorized,Accountable,Analyst,C,,
35,People,A project is failing. The PM gathers the team to find out why. This is:,Blaming,Micromanagement,Waste of time,Root Cause Analysis,D,,
36,People,A PM wants to improve team Velocity. What should they focus on?,Working more hours,Cutting scope,Hiring more people,Removing impediments,D,,
37,People,A team member feels their ideas are never heard. What should the PM do?,Tell them their ideas aren t good,Promote them,Ignore them,Ensure they have a platform (e.g.  Retrospective),D,,
38,People,Active Listening involves:,Hearing but not responding,Multi-tasking,Confirming understanding and reflecting,Interrupting,C,,
39,People,A team is Co-located. This means:,They work in different cities,They work in the same physical space,They use the same software,They have the same manager,B,,
40,People,What is a T-Shaped professional?,Someone who only knows one thing,Someone with deep expertise in one area and broad knowledge in others,Someone who works in a T-shaped building,A manager,B,,
41,People,What is the best outcome of conflict?,Someone loses,Innovative solutions and better team cohesion,People quit,The project is delayed,B,,
42,People,A 360-degree feedback involves:,Only the PM s opinion,Feedback from peers  subordinates  and managers,A 360-minute meeting,Looking around the room,B,,
43,People,A Product Owner is responsible for:,Managing the team s schedule,Maximizing product value and managing the backlog,Coding the product,Hiring the PM,B,,
44,People,Mentoring is:,Telling someone what to do,A long-term professional relationship focused on growth,A one-time meeting,Formal training,B,,
45,People,Coaching is:,Managing a sports team,Helping someone improve a specific skill,Telling them they are doing a bad job,Writing a report,B,,
46,People,A Burnup Chart shows:,People who left,How much money is left,Team frustration,Total work completed vs. total scope,D,,
47,People,A Burndown Chart shows:,Work added,The budget,Remaining work in a sprint,The schedule,C,,
48,People,Negotiation should focus on:,Winning at all costs,Trickery,Reaching an agreement that satisfies both parties,Giving up,C,,
49,People,What is a major risk in a Virtual Team ?,Too much communication,Misunderstandings due to lack of non-verbal cues,No travel costs,People working too hard,B,,
50,People,A Project Charter is important because it:,Lists every task,Formally authorizes the project,Contains the final budget,Is written by the team,B,,
51,People,Empowering the team increases:,The PM s workload,Team ownership and motivation,The chance of failure,The budget,B,,
52,People,A team member is an Expert. The PM should:,Tell them exactly what to do,Involve them in decision-making,Ignore them,Feel threatened,B,,
53,People,A stakeholder is Resistant. The PM should:,Avoid them,Force them,Fire them,Try to understand and address their concerns,D,,
54,People,A Team Charter includes:,Project budget,Product specifications,Team values and ground rules,Customer names,C,,
55,People,Psychological Safety means:,The office is locked,Everyone is happy,Team members feel safe to take risks,No disagreements,C,,
56,People,Positive Feedback should be:,Rare,General,Specific  timely  and sincere,Only for the PM,C,,
57,People,A Cross-functional team has:,Only developers,Members from different departments,Only managers,No leader,B,,
58,People,Motivation is influenced by:,Just money,Working conditions only,Achievement and recognition,Fear,C,,
59,People,McGregor’s Theory Y assumes:,People hate work,People are self-motivated,People need constant watching,People are lazy,B,,
60,People,Maslow’s Hierarchy ends with:,Food,Self-actualization,Safety,Social needs,B,,
61,People,Using Influence over Authority is common in:,Military,Dictatorships,Projectized organizations,Matrix organizations,D,,
62,People,When Onboarding a new member a PM should:,Introduce them to the vision and their role,Give them work and leave,Tell them to figure it out,Ignore them,A,,
63,People,Conflict in agile teams is often resolved:,By the PM,By the team during retrospectives,By the CEO,By coin flip,B,,
64,People,A Stakeholder Engagement Assessment Matrix shows:,Current vs. desired engagement,Salaries,Phone numbers,Risks,A,,
65,People,When Negotiating with a vendor focus on:,Lying about budget,Interests  not positions,Being aggressive,First offer,B,,
66,People,A Sprint Retrospective is for:,Showing the product,Improving process,Planning next sprint,Firing people,B,,
67,People,A Daily Stand-up should last:,15 minutes,1 hour,5 minutes,As long as needed,A,,
68,People,The Three Questions of a Daily Stand-up focus on:,Cost and talk,Philosophy,Time and budget,Yesterday  today  and blockers,D,,
69,People,A Blocker is:,A team member,Anything stopping the team,A finished task,A project goal,B,,
70,People,Servant Leaders manage:,People,Budget only,Environment and obstacles,Schedule only,C,,
71,People,Nodding during Active Listening shows:,Agreement,Listening and understanding,Tiredness,Desire to speak,B,,
72,People,For a Burned out member the PM should:,Give more work,Encourage time off and re-evaluate load,Tell them to be stronger,Ignore it,B,,
73,People,A Resource Management Plan includes:,Names only,How resources are acquired and managed,Laptop prices,Schedule,B,,
74,People,A Power/Interest Grid helps:,Calculate power,Determine stakeholder engagement strategy,Find critical path,Manage budget,B,,
75,People,Soft Skills include:,Coding,Math,Communication and leadership,Scheduling,C,,
76,People,The Project Manager is responsible for:,Doing all work,Project success and leadership,Making coffee,Approving Sponsor s vacation,B,,
77,Process,Defining a new project is part of:,Initiating,Planning,Executing,Closing,A,,
78,Process,The goal of a WBS is to:,List people,Create a schedule,Decompose deliverables into manageable components,Set budget,C,,
79,Process,The Critical Path is:,Path with most tasks,Shortest path,Longest path with zero float,Most expensive path,C,,
80,Process,Analogous Estimating is:,Math-based,Bottom-up,Using actual costs from similar projects,Random,C,,
81,Process,Parametric Estimating uses:,Statistical relationships (e.g.  $ per sq. ft.),Expert judgment,WBS only,Team opinion,A,,
82,Process,A CPI of 0.8 means:,Under budget,Over budget (only $0.80 value per $1 spent),Ahead of schedule,80% done,B,,
83,Process,An SPI of 1.2 means:,Behind schedule,Ahead of schedule,Over budget,PM is young,B,,
84,Process,Earned Value (EV) is:,Total budget,Money spent,Planned budget,Value of work actually performed,D,,
85,Process,Actual Cost (AC) is:,Budget,Money left,Cost incurred for work performed,Profit,C,,
86,Process,CV formula:,EV - AC,EV - PV,AC - EV,PV - EV,A,,
87,Process,SV formula:,EV - AC,EV - PV,PV - EV,AC - PV,B,,
88,Process,Change Requests are approved by:,PM only,CCB or defined authority,Team,Customer only,B,,
89,Process,Scope Creep is:,Insects,Uncontrolled scope expansion,Good thing,Planned change,B,,
90,Process,Gold Plating is:,Actual gold,Adding unrequested features,Following scope,Expensive resources,B,,
91,Process,A Risk Register contains:,Big risks only,Budget,Identified risks  responses  and owners,Team names,C,,
92,Process,Risk Mitigation involves:,Ignoring risk,Moving to third party,Reducing probability or impact,Avoiding,C,,
93,Process,Risk Transfer involves:,Fixing,Ignoring,Shifting ownership (e.g.  insurance),Accepting,C,,
94,Process,Qualitative Risk Analysis prioritizes by:,Dollars,Probability and impact,PM s mood,Schedule,B,,
95,Process,Quantitative Risk Analysis involves:,Numerical simulation (e.g.  Monte Carlo),Categorizing,Listing,Talking,A,,
96,Process,Quality Assurance focuses on:,Product,Process,Budget,Customer,B,,
97,Process,Quality Control focuses on:,Deliverables,Process,PM,Vendor,A,,
98,Process,Pareto Chart rule:,PM s rule,50/50,100%,80/20,D,,
99,Process,Fishbone Diagram use:,Tracking,Scheduling,Finding root cause,Risk ID,C,,
100,Process,Crashing means:,Adding resources to shorten time,Parallel tasks,Deleting tasks,Faster work,A,,
101,Process,Fast Tracking means:,Resources,Faster clock,Overlapping sequential tasks,Skipping checks,C,,
102,Process,Fixed Price is best when:,Unknown scope,New PM,Well-defined scope,Agile,C,,
103,Process,Cost Plus is best when:,Short project,Fixed scope,No money,Scope undefined,D,,
104,Process,T&M contact  is used for:,Small/quick tasks or undefined scope,Bridges,Fixed scope,Large projects,A,,
105,Process,Procurement is:,Hiring PM,Purchasing outside goods/services,Team management,Selling,B,,
106,Process,A Sprint is:,Time-boxed iteration,Fast run,Meeting,Document,A,,
107,Process,Backlog owner is:,Scrum Master,Product Owner,Team,Sponsor,B,,
108,Process,Sprint Backlog owner:,PO,Team,SM,PMO,B,,
109,Process,User Story format:,As a [user]  I want [action]  so that [value],Now,Task list,Deadline,A,,
110,Process,DoD ensures:,Tiredness,Shared understanding of completion,Project end,Payment,B,,
111,Process,Velocity is:,Work completed per sprint,Internet speed,Duration,PM speed,A,,
112,Process,Retrospective timing:,Start,Yearly,End of every sprint,After firing,C,,
113,Process,Kanban focuses on:,Estimating,Sprints,Roles,Visualizing and WIP limits,D,,
114,Process,A Spike is for:,Bug fix,Research/Investigation,Feature build,Celebration,B,,
115,Process,Story Points measure:,Dollars,Hours,Days,Relative effort/complexity,D,,
116,Process,Planning Poker use:,Gambling,Estimating user stories,Choosing PM,Risks,B,,
117,Process,Hybrid methodology is :,Combines Waterfall and Agile,Electric cars,Software only,Two PMs,A,,
118,Process,Project Management Plan :,Single doc,Schedule,Subsidiary plans and baselines,WBS,C,,
119,Process,Integration is :,Hiring,Coordinating all aspects,Coding,Talking,B,,
120,Process,Lessons Learned update:,Only end,Never,Throughout project,On request,C,,
121,Process,Benchmarking is used for :,Benches,Comparing to other projects,Testing,Budgeting,B,,
122,Process,Monte Carlo for:,Gambling,Simulating risk outcomes,Scheduling,Quality,B,,
123,Process,Resource Leveling :,Increase scope,Speed up,Lower cost,May delay project to balance load,D,,
124,Process,Resource Smoothing :,Changes critical path,Balances,Uses available float  no delay,Budget affect,C,,
125,Process,Control Chart is used for :,Process stability,Schedule,Budget,Performance,A,,
126,Process,JIT :,Reduces inventory cost,Increases,Delays,Software only,A,,
127,Process,Kaizen causes :,Stop,Quality,Fast,Continuous improvement,D,,
128,Process,Six Sigma helps in :,Speed,Reducing defects,Cost,Scope,B,,
129,Process,What is TQM related to :,Quality team,Customer,PM only,Everyone,D,,
130,Process,COQ includes:,Prevention  appraisal  failure,Price only,PM salary,Testing price,A,,
131,Process,Verified Deliverables is realated to:,Customer,Team,Quality Control,Sponsor,C,,
132,Process,Accepted Deliverables :,Dev,QC,PM,Customer (Validate Scope),D,,
133,Process,Scope Statement :,Budget,Deliverables  assumptions  exclusions,Schedule,Team,B,,
134,Process,RTM links:,People,Requirements to deliverables,Risk to Issue,Budget to Schedule,B,,
135,Process,Work Package :,Lowest WBS level,Box,Task,Phase,A,,
136,Process,Planning Package :,Gift,WBS component with known content but no activities,Task,Plan,B,,
137,Process,Rolling Wave planning is :,End only,Near term detailed  future high level,No plan,Surfing,B,,
138,Process,PDM  consist of :,FS only,No logic,Circles,All relationships (FS  SS  FF  SF),D,,
139,Process,What is Lead :,PM,Delay,Metal,Acceleration of successor,D,,
140,Process,What is Lag :,Fast,Risk,Error,Mandatory delay,D,,
141,Process,Bottom-up method is  :,Fast,Accurate but slow,Inaccurate,Sponsor work,B,,
142,Process,PERT Beta formula is :,(O + 4M + P) / 6,(O + M + P) / 3,Sum,/ 4,A,,
143,Process,Management Reserve is  :,Known,Known-Unknowns,Unknown-Unknowns,Bonus,C,,
144,Process,Contingency is related to  :,Unknown,Known-Unknowns,Customer,Scope,B,,
145,Process,What does BAC stand for :,Budget at Completion,Business,Control,Best,A,,
146,Process,What does EAC stand for :,Estimate at Completion,Early,Controlled,Activity cost,A,,
147,Process,What is ETC stand for  :,Estimate to Complete,Time,Task,End,A,,
148,Process,TCPI stand for :,To-Complete Performance Index,Total,Percent,Time,A,,
149,Process,Governance is :,Laws,Framework guiding activities,PM rules,CEO orders,A,,
150,Process,Configuration is ued for  :,Product specs and documentation,Hardware,Hiring,Budget,A,,
151,Process,Change Log :,All work,Change request status,Risks,Stakeholders,B,,
152,Process,Issue Log is used for :,Risks,Current problems,Potential,Done tasks,B,,
153,Process,Communication Plan is :,Phones,Cost,Speaker,Who  what  when  how,D,,
154,Process,Push is what type of communciation :,Sending (e.g.  email),Finding,Meeting,Forcing,A,,
155,Process,Pull is what type of communication :,Email,Yelling,Call,Accessing (e.g.  Intranet),D,,
156,Process,Interactive is :,Multidirectional,One-way,Report,Sign,A,,
157,Process,Risk Appetite is  :,Hunger,Willingness to take uncertainty,Avoiding,Taking all,B,,
158,Process,Threshold is :,Unacceptable risk level,Start,End,Report,A,,
159,Process,Tornado diagram  helps in doing:,Sensitivity Analysis,Schedule,Resource,Procurement,A,,
160,Process,Bidder Conferences :,Meet team,Lowest price,Common understanding for sellers,Customer happy,C,,
161,Process,Make-or-Buy is used for :,Internal vs. External decision,Price,Vendor choice,Profit,A,,
162,Process,What is SOW used for:,Work for vendor,PM job,Roles,Vision,A,,
163,Process,What happens in Closing :,Acceptance  transition  archive,Stopping,Deleting,Firing,A,,
164,Process,Final Report is used for :,Performance summary and benefits,All emails,Resume,Meeting list,A,,
165,Process,Knowledge Transfer :,End only,Never,Throughout and at closing,Agile only,C,,
166,Process,Ultimate goal of project:,Docs,Value delivery,Schedule,Budget,B,,
167,Business,PM must ensure compliance with:,Legal and organizational standards,PM rules only,Customer whims,No rules,A,,
168,Business,Business Value :,Tangible and intangible elements,Profit only,Price,Employees,A,,
169,Business,Business Case is :,Benefits vs. Investment,PM preference,Team skill,Schedule,A,,
170,Business,Benefits Management Plan :,Risks,Team pay,Features,How benefits are measured/delivered,D,,
171,Business,Project not aligned with strategy:,Keep working,Discuss with Sponsor to redirect/close,Change strategy,Hide it,B,,
172,Business,Organizational Culture :,Dress code,Weather,Nothing,Affects decisions/interactions,D,,
173,Business,Types of PMO :,Supportive  Controlling  Directive,Bossy,Training only,A room,A,,
174,Business,NPV should be :,Positive for viability,Negative,Zero,Ignored,A,,
175,Business,IRR should be :,Higher is better,Lower,Irrelevant,Agile only,A,,
176,Business,Payback is used to :,Time to recover investment,Team pay,End date,Risk,A,,
177,Business,Organizational Change :,Firing,Change PM,Change budget,Helping transition to the new state,D,,
178,Business,Compliance Audit is used for :,Following regulations,PM working,Team happy,Pretty product,A,,
179,Business,Change in government policy:,Ignore,Stop,Assess impact,Media,C,,
180,Process,"A project team has intermittent problems with transportation to a remote site. Work is scheduled for an 18-month interval that includes only one rainy season to minimize the impact. However, now the site has been overrun by invasive weeds. Specialists are needed to inspect the site, but the timeline has been impacted and the project is in danger of being derailed. 

How should the project team handle this situation?
","Prioritize the issues according to their impacts to scope, schedule, cost, and quality.",Escalate the situation to the project sponsor.,Wait for the specialists to inspect and advise.,Accept the schedule extension and the incurred cost.,A,,
181,Process,"A project to catalog a knowledge base has been rejected several times. The work is now unavoidable, but the company has limited resources to complete it. A project manager has recorded a long list of quality defects of varying degrees of importance and criticality, which cause the stakeholders to be concerned. 

Which tool or technique should the project manager use to approach the task of dealing with the defects?",Pareto chart,Control chart,"Strengths, weaknesses, opportunities, and threats (SWOT) analysis	",Cause-and-effect diagram,A,,
182,Process,"Tragedy strikes on a project to restore a bus terminal and modernize the service. An unexpected natural disaster has damaged the site and surrounding city. The project team, watching from a safe location 250 kilometers away, is in emergency response mode. 

What should the project team do next?",Use the contingency budget.,Update the risk register. ,Activate the management reserve.,"Engage stakeholders to develop a risk response.	",C,,
183,People,"A project manager joins a company and takes on two projects, but soon realizes that team governance is lacking. Team members are not responding to emails or following the set work plans.

What should the project manager do first?",Confirm the structure for project teams with the project management office (PMO).,Engage organizational stakeholders to understand the company culture.,Engage the team to conduct a thorough analysis to identify gaps and improvement opportunities. ,Review the project charters.,C,,
184,Process,"An agile project team is using scrum methods. A previously unidentified risk has occurred and threatens the current release.

What should the scrum master do?",Stop project work until the risk is assessed and analyzed.,Bring the issue up during the next standup meeting.,Engage the team to facilitate a workaround.,"Collaborate with stakeholders and the project team to develop a risk response.		",C,,
185,Process,"An agile team sometimes uses an open workspace inside an otherwise quiet office. One afternoon, a giant screen is set up and customers are invited to a presentation. Approximately 1 hour later, the team is laughing and cheering so loudly that the entire office comes to see what is going on. 

Which event is taking place here?",Retrospective,Daily standup,Product review,Scrum of scrums,C,,
186,People,"During a virtual team meeting with a customer, one team member is talking over others, making inappropriate jokes, and eating on camera. Which approach should the project manager take?",Ask everyone to turn off their cameras and mute their microphones to avoid the problem and continue the meeting.,"Make a lighthearted comment, try to ignore the behavior, and continue the meeting.",Take control of the meeting by asking people to raise their hands for permission to speak.,"Send a private chat message to the team member to turn off the camera while eating and keep communications relevant, then follow up with a face-to-face meeting.",D,,
187,People,"A highly skilled and valued team member seems to frequently be in trouble with human resources (HR). The issues are confidential, but the situation is impacting other team members in a negative way. However, the team’s performance has not yet been affected.

What should the project manager do?",Monitor the situation with a proactive approach.,Plan a team-building event.,Schedule regular team retrospectives.,Have a private meeting with the team member.,D,,
188,People,"A project is researching and exploring a new biomedical technology. The external market conditions are complex and highly regulated. While the team has worked in similar conditions before, the timeline for delivery is aggressive.

How should the project manager motivate this team?	",Empower team members to use a fail-fast approach to deliver results and value quickly.,Provide guidance and support to the team while they work in timeboxed iterations.,Share daily reminders of the timeline and milestones informally in the team chat.,Ensure product vision and roadmap development is done collaboratively with the product owner and team.,D,,
189,Process,A newly appointed project manager is reviewing documents and realizes the business case contains incomplete information. What should the project manager do next? ,"Process a change request.	",Ask the project sponsor to update the business case.,Update the business case.,Determine what information is needed.,D,,
